Id,Label,movie_count,avg_vote_average,years_active,top_genre,genre_1,genre_2,genre_3,movie_list
702,Aaron Groben,14,4.39,2016-2020,Horror,Horror,Comedy,Science Fiction,Zoombies (2016); Attack of the Killer Donuts (2016); Party Bus To Hell (2017); Bikini Car Wash Massacre (2017); The Campus (2018); Sunset Society (2018); Shangri-La: Near Extinction (2018); Weedjies! Halloweed Night (2019); Art of the Dead (2019); Synchronic (2020); VHYes (2020); False Hopes (2020); Heaven (2020); Interview with the Antichrist (2020)
707,Aaron Haddad,32,6.85,2003-2016,Action,Action,Drama,Documentary,"WWE Vengeance 2003 (2003); WWE No Mercy 2006 (2006); WWE TLC: Tables Ladders & Chairs 2012 (2012); WWE Money In The Bank 2012 (2012); WWE Hell In A Cell 2012 (2012); WWE Survivor Series 2012 (2012); WWE Royal Rumble 2013 (2013); WWE Elimination Chamber 2013 (2013); WWE Payback 2013 (2013); WWE Money in the Bank 2013 (2013); WWE SummerSlam 2013 (2013); WWE Hell in a Cell 2013 (2013); WWE Battleground 2013 (2013); WWE TLC: Tables, Ladders & Chairs 2013 (2013); WWE: The Best of Raw & SmackDown 2012, Volume 1 (2013); WWE: Straight to the Top - Money in the Bank Anthology (2013); WWE Hell In A Cell 2014 (2014); WWE TLC: Tables, Ladders & Chairs 2014 (2014); WWE Survivor Series 2014 (2014); WWE Night of Champions 2014 (2014); WWE WrestleMania XXX (2014); WWE Battleground 2014 (2014); WWE Money in the Bank 2014 (2014); WWE Royal Rumble 2014 (2014); WWE SummerSlam 2014 (2014); WWE Royal Rumble 2015 (2015); WWE WrestleMania 31 (2015); WWE Payback 2015 (2015); WWE Royal Rumble 2016 (2016); WWE WrestleMania 32 (2016); TNA: Bound for Glory (2016); TNA Turning Point 2016 (2016)"
741,Aaron Hill,11,5.42,2008-2017,Comedy,Comedy,Drama,Family,Foreign Exchange (2008); Transformers: Revenge of the Fallen (2009); Perfect Combination (2010); Creature (2011); A Warrior's Heart (2011); A Perfect Christmas List (2014); The Night Before (2015); The Reluctant Nanny (2015); Get a Job (2016); Home (2016); Step Off The Block (2017)
742,Aaron Himelstein,11,5.45,2000-2015,Comedy,Comedy,Drama,Crime,High Fidelity (2000); Austin Powers in Goldmember (2002); Fast Food Nation (2006); All the Boys Love Mandy Lane (2006); Bachelor Party Vegas (2006); The Informers (2008); Assassination of a High School President (2008); Remember the Daze (2008); Fault Line (2009); Captain America: The Winter Soldier (2014); Avengers: Age of Ultron (2015)
750,Aaron Hughes,12,5.45,2007-2018,Thriller,Thriller,Drama,Horror,You Kill Me (2007); Maneater (2007); Hybrid (2007); A Family Lost (2007); The Lazarus Project (2008); Horsemen (2009); The Christmas Hope (2009); ATM (2012); Silent Night (2012); Battlestar Galactica: Blood & Chrome (2012); One Christmas Eve (2014); How It Ends (2018)
766,Aaron Jackson,11,5.4,2000-2020,Drama,Drama,Adventure,War,The Hands of a Madman (2000); Wicked Spring (2002); An Occurrence at Owl Creek Bridge (2005); Biophage (2010); Emperor (2012); Jack the Giant Slayer (2013); What We Do in the Shadows (2014); Pete's Dragon (2016); How Many Farts Measure a Life? (2017); Mortal Engines (2018); Guns Akimbo (2020)
776,Aaron Jay Rome,10,5.21,2012-2019,Comedy,Comedy,Drama,Romance,The Campaign (2012); The Starving Games (2013); Get On Up (2014); 2 Bedroom 1 Bath (2014); Focus (2015); Mirrored (2015); Indiscretion (2016); Go Crazy Go Mad (2018); End Trip (2018); The Dirt (2019)
925,Aaron Mitchell,19,4.63,2017-2020,Drama,Drama,Action,Thriller,Geostorm (2017); Queen Dracula (2017); The Hammer (2017); Shock and Awe (2017); Created Equal (2017); Ripple (2017); LBJ (2017); The Tale (2018); Billionaire Boys Club (2018); Mary (2019); Out of Blue (2019); The Highwaymen (2019); The Last Laugh (2019); Eat Brains Love (2019); One Nation Under God (2019); Out of the Fight (2020); Walkaway Joe (2020); Project Power (2020); It's Time (2020)
953,Aaron Neil,12,5.2,2002-2020,Drama,Drama,Adventure,Comedy,Harold Shipman: Doctor Death (2002); White Girl (2008); Found (2013); National Theatre Live: 50 Years on Stage (2013); Exodus: Gods and Kings (2014); The Lady in the Van (2015); The Promise (2016); Paddington 2 (2017); The Good Soldier Schwejk (2018); Star Wars: The Rise of Skywalker (2019); The Hustle (2019); The Bike Thief (2020)
974,Aaron Paul,39,6.27,2000-2020,Drama,Drama,Thriller,Comedy,Whatever It Takes (2000); K-PAX (2001); National Lampoon's Van Wilder (2002); Temptation (2004); Perfect Opposites (2004); Bad Girls from Valley High (2005); Candy Paint (2005); Mission: Impossible III (2006); Choking Man (2006); Daydreamer (2007); The Last House on the Left (2009); Wreckage (2010); Weird: The Al Yankovic Story (2010); Quirky Girl (2011); Smashed (2012); Robot Chicken: DC Comics Special (2012); David Blaine: Real or Magic (2013); No Half Measures: Creating the Final Season of Breaking Bad (2013); Chicks 'N' Guns (2013); Barely Legal Pawn (2014); Hellion (2014); Decoding Annie Parker (2014); Exodus: Gods and Kings (2014); Need for Speed (2014); A Long Way Down (2014); Eye in the Sky (2015); Unity (2015); Fathers and Daughters (2015); Triple 9 (2016); Come and Find Me (2016); Central Intelligence (2016); The 9th Life of Louis Drax (2016); Welcome Home (2018); American Woman (2018); El Camino: A Breaking Bad Movie (2019); The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie (2019); The Parts You Lose (2019); David Blaine: The Magic Way (2020); Adam (2020)
