Source,Target,Type,Weight
68292,255296,Undirected,2
171277,258826,Undirected,2
122772,242667,Undirected,2
122772,360297,Undirected,2
122772,367782,Undirected,2
184946,242667,Undirected,2
184946,300749,Undirected,2
242667,360297,Undirected,2
282774,306509,Undirected,2
306509,372857,Undirected,2
4648,77387,Undirected,2
4648,126944,Undirected,2
4648,155927,Undirected,3
4648,162788,Undirected,2
4648,278523,Undirected,3
4648,366527,Undirected,3
77387,126944,Undirected,2
77387,155927,Undirected,2
77387,162788,Undirected,2
77387,278523,Undirected,2
77387,366527,Undirected,2
126944,155927,Undirected,2
126944,162788,Undirected,2
126944,278523,Undirected,2
126944,366527,Undirected,2
155927,162788,Undirected,2
155927,278523,Undirected,4
155927,366527,Undirected,2
162788,278523,Undirected,2
162788,366527,Undirected,2
278523,366527,Undirected,2
159236,363855,Undirected,2
174578,363855,Undirected,2
314829,363855,Undirected,2
74140,211309,Undirected,2
74140,230208,Undirected,2
74140,372086,Undirected,2
207039,264038,Undirected,2
211309,264038,Undirected,2
248912,264038,Undirected,2
248912,326865,Undirected,2
42117,204884,Undirected,3
42117,213537,Undirected,3
42117,267148,Undirected,3
42117,337541,Undirected,2
42117,340985,Undirected,3
42117,348828,Undirected,2
204884,213537,Undirected,2
204884,267148,Undirected,3
204884,313757,Undirected,2
204884,337541,Undirected,2
204884,340985,Undirected,3
204884,348828,Undirected,2
213537,267148,Undirected,2
213537,340985,Undirected,2
267148,337541,Undirected,2
267148,340985,Undirected,3
267148,348828,Undirected,2
337541,340985,Undirected,2
337541,348828,Undirected,2
340985,348828,Undirected,2
30392,251592,Undirected,2
188704,208870,Undirected,2
191045,351273,Undirected,3
208870,290785,Undirected,2
208870,351273,Undirected,3
290785,351273,Undirected,2
210389,221617,Undirected,2
77950,186474,Undirected,3
77950,225611,Undirected,2
77950,305081,Undirected,2
77950,389122,Undirected,2
77950,390050,Undirected,4
77950,390244,Undirected,2
90513,120640,Undirected,2
90513,186474,Undirected,2
120640,305081,Undirected,2
186474,390244,Undirected,3
225611,305081,Undirected,2
225611,390244,Undirected,2
305081,361815,Undirected,2
305081,390244,Undirected,3
361815,390050,Undirected,2
389122,390050,Undirected,2
30421,255464,Undirected,2
46169,57685,Undirected,2
57685,133305,Undirected,2
103649,113901,Undirected,2
113901,255296,Undirected,2
64075,65612,Undirected,3
42104,67782,Undirected,2
42104,176856,Undirected,2
42104,367782,Undirected,6
67782,72910,Undirected,2
67782,367782,Undirected,2
125934,342334,Undirected,2
171277,367782,Undirected,2
176856,342334,Undirected,2
139242,253782,Undirected,2
178548,353524,Undirected,2
174115,370802,Undirected,2
198553,368625,Undirected,2
260911,301137,Undirected,2
68638,167786,Undirected,2
68638,205670,Undirected,3
68638,297938,Undirected,3
167786,297938,Undirected,2
167786,389792,Undirected,2
205670,297938,Undirected,2
205670,389792,Undirected,2
213073,223918,Undirected,3
213073,225269,Undirected,3
213073,244712,Undirected,5
213073,338644,Undirected,3
213073,349679,Undirected,2
213073,368616,Undirected,4
223918,225269,Undirected,3
223918,244712,Undirected,4
223918,338644,Undirected,3
223918,368616,Undirected,3
225269,244712,Undirected,3
225269,338644,Undirected,3
225269,368616,Undirected,3
244712,338644,Undirected,3
244712,368616,Undirected,4
338644,368616,Undirected,3
280449,332338,Undirected,2
332338,370394,Undirected,2
364446,370850,Undirected,2
234361,234797,Undirected,2
234361,287735,Undirected,4
290625,362247,Undirected,2
185235,199651,Undirected,2
223602,330910,Undirected,2
223602,375780,Undirected,2
265527,330910,Undirected,2
265527,375780,Undirected,2
265527,378223,Undirected,2
330910,375780,Undirected,2
330910,378223,Undirected,2
375780,378223,Undirected,2
75881,231201,Undirected,2
25864,262858,Undirected,3
25864,350591,Undirected,3
87173,374737,Undirected,2
161842,374737,Undirected,2
262858,350591,Undirected,3
12156,188704,Undirected,3
12156,228997,Undirected,2
12156,301137,Undirected,2
188704,197224,Undirected,2
197224,228997,Undirected,2
161956,190867,Undirected,2
190867,266576,Undirected,2
8053,221965,Undirected,2
8053,372103,Undirected,10
221965,372103,Undirected,4
221965,372435,Undirected,2
61601,68292,Undirected,3
385306,387024,Undirected,4
32895,391862,Undirected,2
132938,389175,Undirected,3
113145,353139,Undirected,3
230208,367782,Undirected,2
230208,387872,Undirected,2
367782,387872,Undirected,3
24314,42104,Undirected,6
24314,54091,Undirected,2
24314,61322,Undirected,3
24314,170016,Undirected,4
24314,287561,Undirected,2
24314,291819,Undirected,5
24314,387072,Undirected,3
42104,61322,Undirected,2
42104,170016,Undirected,5
42104,264908,Undirected,2
42104,291819,Undirected,7
42104,387072,Undirected,3
54091,61322,Undirected,2
54091,170016,Undirected,2
54091,287561,Undirected,2
54091,291819,Undirected,2
54091,387072,Undirected,2
61322,170016,Undirected,4
61322,264908,Undirected,2
61322,287561,Undirected,2
61322,291819,Undirected,3
61322,387072,Undirected,3
170016,287561,Undirected,2
170016,291819,Undirected,4
170016,387072,Undirected,4
264908,291819,Undirected,2
264908,387072,Undirected,2
287561,291819,Undirected,2
287561,387072,Undirected,2
291819,387072,Undirected,4
85835,314829,Undirected,2
85835,323669,Undirected,2
109039,323669,Undirected,2
115249,314829,Undirected,2
314829,323669,Undirected,3
62369,186476,Undirected,2
98315,155927,Undirected,2
98315,186476,Undirected,9
98315,309485,Undirected,9
101803,352977,Undirected,2
186476,309485,Undirected,11
196967,377276,Undirected,2
256303,371500,Undirected,2
256303,377276,Undirected,2
253550,370018,Undirected,2
293934,299985,Undirected,2
2734,27686,Undirected,2
73075,172388,Undirected,2
73075,295714,Undirected,2
108832,166459,Undirected,2
108832,172388,Undirected,2
172388,194637,Undirected,4
172388,295714,Undirected,3
172388,326594,Undirected,2
295714,326594,Undirected,3
2147,287005,Undirected,2
131317,184390,Undirected,3
162990,380145,Undirected,2
38980,338644,Undirected,2
75857,261809,Undirected,2
109345,338644,Undirected,2
196643,278523,Undirected,2
70274,391929,Undirected,2
49123,326415,Undirected,2
49123,368783,Undirected,2
179130,326415,Undirected,2
179130,368783,Undirected,2
202684,337696,Undirected,2
227111,337696,Undirected,2
244201,368783,Undirected,2
7152,42117,Undirected,2
7152,252152,Undirected,2
42117,139982,Undirected,2
42117,164982,Undirected,2
42117,180818,Undirected,3
42117,223918,Undirected,2
42117,252152,Undirected,5
139982,252152,Undirected,2
164982,230208,Undirected,2
223918,230208,Undirected,3
64075,187886,Undirected,2
72474,112885,Undirected,2
112885,333265,Undirected,2
38845,134683,Undirected,2
38845,300993,Undirected,3
134683,300993,Undirected,2
146643,307474,Undirected,5
188044,233965,Undirected,2
249399,300444,Undirected,2
40295,107968,Undirected,2
40295,139733,Undirected,2
192307,321927,Undirected,2
54360,295759,Undirected,2
124123,295759,Undirected,2
160419,293979,Undirected,2
160419,351273,Undirected,2
285266,351273,Undirected,2
295714,351273,Undirected,2
42124,155386,Undirected,2
42124,160925,Undirected,2
42124,216869,Undirected,2
42124,324652,Undirected,2
42124,369865,Undirected,2
155386,160925,Undirected,3
155386,216869,Undirected,4
155386,324652,Undirected,4
155386,369865,Undirected,4
160925,216869,Undirected,5
160925,324652,Undirected,4
